"PASSKEY ONLINE/HOCK INTERNATIONAL PART 1 FORMS LIST (SEPTEMBER 2023)
4797,"Sales of Business Property","Use to report:
The sale or exchange of property.
The involuntary conversion of property and capital assets.
The disposition of noncapital assets. 
The disposition of capital assets not reported on Schedule D.
The gain or loss for partners and S corporation shareholders from certain section 179 property dispositions by
partnerships and S corporations.
The computation of recapture amounts under sections 179 and 280F(b)(2) when the business use of section 179 or listed property decreases to 50% or less.
Gains or losses treated as ordinary gains or losses, if you are a trader in securities or commodities and made a mark-to-market election under Internal Revenue Code section 475(f).","Updated annually"
,,,
4852,"Substitute for Form W-2, Wage and Tax Statement, or Form 1099-R, Distributions from Pensions, Annuities, Retirement or Profit-Sharing Plans, IRAs, Insurance Contracts, Etc.","Serves as a substitute for Form W-2, Form W-2c, and Form 1099-R (original or corrected), and is completed by taxpayers or their representatives when:
Their employer or payer does not give them a Form W-2 or Form 1099-R.
An employer or payer has issued an incorrect Form W-2 or Form 1099-R.","September 2020"
,,,
4868,"Application for Automatic Extension of Time to File U.S. Individual Income Tax Return","To apply for a 6-month extension to file an individual income tax return. NOTE: This does not extend the time to pay any income tax debt due for the extended return.","Updated annually"
,,,
5329,"Additional Taxes on Qualified Plans (including IRAs) and Other Tax-Favored Accounts","Use to report additional taxes on IRAs, other qualified retirement plans, modified endowment contracts, Coverdell ESAs, QTPs, Archer MSAs, or HSAs.","Updated annually"
,,,
5405,"Repayment of the First-Time Homebuyer Credit","Use this form to notify the IRS that the home for which you claimed the credit was disposed of or ceased to be your main home AND to figure the amount of the credit you must repay with your tax return.","November 2022"
,,,
5471,"Information Return of U.S. Persons with Respect to Certain Foreign Corporations","Certain U.S. citizens and residents who are officers, directors, or shareholders in certain foreign corporations filethis  and schedules to satisfy the reporting requirements of sections 6038 and 6046, and the related regulations.","December 2022"
,,,
5498,"IRA Contribution Information (Info Copy Only)","File this form for each person for whom you maintained any individual retirement arrangement (IRA), including a deemed IRA under section 408(q).","Updated annually"
,,,
"5498-QA","ABLE Account Contribution Information","Any state or its agency or instrumentality that establishes and maintains a qualified ABLE program must file this form with the IRS, for each ABLE account.","Updated annually"
,,,
"5498-SA","Health Savings Account (HAS), Archer Medical Savings Account (MSA) or Medicare Advantage MSA Information","File this form for each person for whom you maintained an HSA, Archer MSA or MA MSA during the year. A separate form is required for each type of plan.","Updated annually"
,,,
5695,"Residential Energy Credits","Use to figure and take your residential energy credits. The residential energy credits are: 1) the nonbusiness energy property credit; and 2) the residential energy efficient property credit.","Updated annually"
,,,
6251,"Alternative Minimum Tax - Individuals","Use to figure the amount, if any, of your alternative minimum tax (AMT). The AMT applies to taxpayers who have certain types of income that receive favorable treatment, or who qualify for certain deductions, under the tax law. These tax benefits can significantly reduce the regular tax of some taxpayers with higher economic incomes. The AMT sets a limit on the amount these benefits can be used to reduce total tax.","Updated annually"
,,,
6252,"Installment Sale Income","Use to report income from an installment sale on the installment method. Generally, an installment sale is a disposition of property where at least one payment is received after the end of the tax year in which the disposition occurs.","Updated annually"
,,,
7004,"Application for Automatic Extension of Time to File Certain Business Income Tax, Information and Other Returns","Use to request an automatic 6-month extension of time to file certain business income tax, information, and other returns","December 2018"
,,,
8275,"Disclosure Statement","Taxpayers and tax return preparers use this form to disclose items or positions that are not otherwise adequately disclosed on a tax return to avoid certain penalties.","August 2013"
,,,
"8275-R","Regulation Disclosure Statement","Taxpayers and tax return preparers use this form to disclose positions taken on a tax return that are contrary to Treasury regulations.","August 2013"
,,,
8283,"Non-Cash Charitable Contributions","Individuals, partnerships and corporations use this form to report information about non-cash charitable contributions when the amount of their deduction for all non-cash gifts is more than $500.","November 2022"
,,,
8332,"Release/Revocation of Release of Claim to Exemption for Child by Custodial Parent","If you are the custodial parent, you can use Form 8332 to do the following: 1) Release a claim to exemption for your child so that the noncustodial parent can claim an exemption for the child; or 2) Revoke a previous release of claim to exemption for your child.","October 2018"
,,,
8379,"Injured Spouse Allocation","The injured spouse on a jointly filed tax return uses this to get back their share of the joint refund when the joint overpayment is applied to a past-due obligation of the other spouse.","November 2021"
,,,
8453,"U.S. Individual Income Tax Transmittal for an IRS e-File Return","Taxpayers and Electronic Return Originators (EROs) use this form to send any required paper forms or supporting documentation listed next to the checkboxes on the front of the form. Use this form solely to transmit the forms listed on the front of the form.","Updated annually"
,,,
8582,"Passive Activity Loss Limitations","Noncorporate taxpayers use this to: 1) Figure the amount of any passive activity loss (PAL) for the current tax year; or 2) Report the application of prior year unallowed PALs.","Updated annually"
,,,
8606,"Non-Deductible IRAs","Use to report:
Nondeductible contributions you made to traditional IRAs.
Distributions from traditional, SEP, or SIMPLE IRAs, if you have ever made nondeductible contributions to traditional IRAs.
Conversions from traditional, SEP, or SIMPLE IRAs to Roth IRAs.
Distributions from Roth IRAs.","Updated annually"
,,,
8801,"Credit for Prior Year Minimum Tax - Individuals, Estates and Trusts","Individuals, estates, and trusts use this form to figure: 1) the minimum tax credit, if any, for alternative minimum tax (AMT) they incurred in prior tax years; or 2) any credit carryforward to next year.","Updated annually"
,,,
8815,"Exclusion of Interest From Series EE and I U.S. Savings Bonds Issued After 1989","If a person cashed series EE or I U.S. savings bonds this year that were issued after 1989, the person may be able to exclude from their income part or all of the interest on those bonds. Use this form to figure the amount of any interest you may exclude.","Updated annually"
,,,
8821,"Tax Information Authorization","Use to: 1) authorize any individual, corporation, firm, organization, or partnership you designate to inspect and/or receive your confidential information verbally or in writing for the type of tax and the years or periods listed on the form; or 2) delete or revoke prior tax information authorizations.","January 2021"
,,,
8822,"Change of Address","Use to notify the Internal Revenue Service of a change to your home mailing address.
","February 2021"
,,,
8829,"Expenses for Business Use of Your Home","Use to figure the allowable expenses for business use of your home on Schedule C (Form 1040) and any carryover to 2023 of amounts not deductible in 2022.","Updated annually"
,,,
8857,"Request for Innocent Spouse Relief","Taxpayers use this to request relief from tax liability, plus related penalties and interest, when they believe only their spouse or former spouse should be held responsible for all or part of the tax.","June 2021"
,,,
8862,"Information to Claim Certain Credits After Disallowance","Taxpayers complete this and attach it to their tax return if: 1) their earned income credit (EIC), child tax credit (CTC)/additional child tax credit (ACTC), credit for other dependents (ODC) or American opportunity credit (AOTC) was reduced or disallowed for any reason other than a math or clerical error; or 2) they want to take the credit(s) and meet all the requirements.","December 2022"
,,,
8863,"Education Credits (American Opportunity and Lifetime Learning Credits)","Use to figure and claim your education credits, which are based on qualified education expenses paid to an eligible postsecondary educational institution. There are two education credits: the American Opportunity Credit, part of which may be refundable AND the Lifetime Learning Credit, which is nonrefundable.","Updated annually"
,,,
8865,"Return of U.S. Persons With Respect to Certain Foreign Partnerships","A U.S. person uses this to report the information required under:
Section 6038 (reporting with respect to controlled foreign partnerships).
Section 6038B (reporting of transfers to foreign partnerships).
Section 6046A (reporting of acquisitions, dispositions, and changes in foreign partnership interests).","Updated annually"
,,,
8879,"IRS e-File Signature Authorization","This is the declaration document and signature authorization for an e-filed return filed by an electronic return originator (ERO). Complete this form when: 1) the Practitioner PIN method is used; and/or 2) the taxpayer authorizes the ERO to enter or generate the taxpayer’s personal identification number (PIN) on his or her e-filed individual income tax return.","January 2021"
,,,
8880,"Credit for Qualified Retirement Savings Contributions","Use to figure the amount, if any, of your retirement savings contributions credit (also known as the saver’s credit)","Updated annually"
,,,
8888,"Allocation of Refund (Including Savings Bond Purchases)","Use to directly deposit your refund (or part of it) to one or more accounts at a bank or other financial institution (such as a mutual fund, brokerage firm, or credit union) in the United States. This form can also be used to buy up to $5,000 in paper series I savings bonds with your refund.","November 2022"
,,,
8889,"Health Savings Accounts (HSAs)","File this to: 1) report health savings account (HSA) contributions (including those made on your behalf and employer contributions); 2) figure your HSA deduction; and 3) report distributions from HSAs.
Figure amounts you must include in income and additional tax you may owe if you fail to be an eligible individual.","Updated annually"
,,,
8919,"Uncollected Social Security and Medicare Tax on Wages","Use to figure and report your share of the uncollected social security and Medicare taxes due on your compensation if you were an employee but were treated as an independent contractor by your employer.","Updated annually"
,,,
8938,"Statement of Specified Foreign Financial Assets","Use to report your specified foreign financial assets if the total value of all the specified foreign financial assets in which you have an interest is more than the appropriate reporting threshold.","November 2021"
,,,
8948,"Preparer Explanation for Not Filing Electronically","Specified tax return preparers use this form to explain why a particular return is being filed on paper.","September 2018"
,,,
8949,"Sales and Other Dispositions of Capital Assets","Use to reconcile amounts that were reported to you and the IRS on Form 1099-B or 1099-S (or substitute statement) with the amounts you report on your return. The subtotals from this form will then be  carried over to Schedule D (Form 1040), where gain or loss will be calculated in aggregate.","Updated annually"
,,,
"FBAR / FinCen 114","Report of foreign bank and financial accounts.","A U.S. person, including a citizen, resident, corporation, partnership, limited liability company, trust and estate, must file an FBAR to report a financial interest in or signature or other authority over at least one financial account located outside the United States if the aggregate value of those foreign financial accounts exceeded $10,000 at any time during the calendar year.","Online at https://bsaefiling.fincen.treas.gov/main.html; updated annually"
,,,
"RRB-1099 (blue) /  RRB-1099-R (green)","Railroad retirement benefits.","This is a two-part form. Railroad retirement benefits (Social Security equivalent) are reported on RRB-1099, the blue form (Tier 1). Tier one reports the Social Security equivalent amounts. These amounts DO NOT include Medicare premiums deducted from the taxpayer's Social Security benefits during the tax year. The RRB-1099-R, the green form (Tier 2), contains the taxpayer's PII and non-Social Security equivalent benefit payments administered by the RRB.","Updated annually"
,,,
"Schedule 1","Additional Income and Adjustments to Income","Use if you have additional income, such as business or farm income or loss, unemployment compensation, or prize or award money OR you have any adjustments to income, such as student loan interest, self-employment tax, or educator expenses.","Updated annually"
,,,
"Schedule 2","Additional Taxes","Use if you owe alternative minimum tax (AMT) or need to make an excess advance premium tax credit repayment OR you owe other taxes, such as self-employment tax, household employment taxes, additional tax on IRAs or other qualified retirement plans and tax favored accounts. ","Updated annually"
,,,
"Schedule 3","Additional Credits and Payments","Use if you can claim a nonrefundable credit (other than the child tax credit or the credit for other dependents), such as the foreign tax credit, education credits, or general business credit OR you can claim a refundable credit (other than the earned income credit, American opportunity credit, or additional child tax credit), such as the net premium tax credit or qualied sick and family leave credits from Schedule H OR you have other payments, such as an amount paid with a request for an extension to file or excess social security tax withheld. ","Updated annually"
,,,
"Schedule 8812              (Form 1040) ","Credits for Qualifying Children and Other Dependents","Use to figure your child tax credits, to report advance child tax credit payments you received in 2021, and to figure any additional tax owed if you received excess advance child tax credit payments during 2021.","Updated annually"
,,,
"Schedule A                (Form 1040 and 1040-SR) ","Itemized Deductions","Use to figure your itemized deductions. In most cases, your federal income tax will be less if you take the larger of your itemized deductions or your standard deduction.","Updated annually"
,,,
"Schedule B","Interest and Ordinary Dividends","Use if any of the following apply: you had over $1,500 of taxable interest or ordinary dividends; you received interest from a seller-financed mortgage and the buyer used the property as a personal residence; you have accrued interest from a bond; you are reporting original issue discount (OID) in an amount less than the amount shown on Form 1099-OID; you are reducing your interest income on a bond by the amount of amortizable bond premium; you are claiming the exclusion of interest from series EE or I U.S. savings bonds issued after 1989; you received interest or ordinary dividends as a nominee; you had a financial interest in, or signature authority over, a financial account in a foreign country or you received a distribution from, or were a grantor of, or transferor to, a foreign trust. Part III of the schedule has questions about foreign accounts and trusts.","Updated annually"
,,,
"Schedule C                (Form 1040) ","Profit or Loss from Business (Sole Proprietorship)","Use to report income or loss from a business you operated or a profession you practiced as a sole proprietor. An activity qualifies as a business if: your primary purpose for engaging in the activity is for income or profit; you are involved in the activity with continuity and regularity.","Updated annually"
,,,
"Schedule D","Capital Gains and Losses","Use to report the following: the sale or exchange of a capital asset not reported on another form or schedule; gains from involuntary conversions (other than from casualty or theft) of capital assets not held for business or profit; capital gain distributions not reported directly on Form 1040 (or effectively connected capital gain distributions not reported directly on Form 1040-NR); non-business bad debts.","Updated annually"
,,,
"Schedule E","Supplemental Income and Loss","Use to report income or loss from rental real estate, royalties, partnerships, S corporations, estates, trusts, and residual interests in real estate mortgage investment conduits (REMICs).","Updated annually"
,,,
"Schedule EIC","Earned Income Credit","After you have figured your earned income credit (EIC), use Schedule EIC (Form 1040 or 1040-SR) to give the IRS information about your qualifying child(ren).","Updated annually"
,,,
"Schedule F","Profit or Loss From Farming","Use to report farm income and expenses.","Updated annually"
,,,
"Schedule H","Household Employment Taxes","Use to report household employment taxes if you paid cash wages to a household employee and the wages were subject to social security, Medicare, or FUTA taxes, or if you withheld federal income tax.","Updated annually"
,,,
"Schedule J","Income Averaging for Farmers and Fishermen","Use to elect to figure your income tax by averaging, over the previous 3 years (base years), all or part of your taxable income from your trade or business of farming or fishing. This election may give you a lower tax if your income from farming or fishing last year is high and your taxable income for one or more of the 3 prior years was low.","Updated annually"
,,,
"Schedule K-1 (1041)","Beneficiary Filing Form 1040 or 1040-SR","Use to report a beneficiary's share of the estate’s or trust’s income, credits, deductions, etc., on your Form 1040 or 1040-SR. Keep it for your records. Don’t file it with your tax return, unless backup withholding was reported in box 13, code B.","Updated annually"
,,,
"Schedule K-1 (1065)","Partner’s Share of Income, Deductions, Credits, etc. ","Use to report your share of the partnership's income, deductions, credits, etc. Keep it for your records. Don’t file it with your tax return unless you are specifically required to do so. (See the instructions for Code O. Backup withholding, later.) The partnership files a copy of Schedule K-1 (Form 1065) with the IRS. The amount of loss and deduction you may claim on your tax return may be less than the amount reported on Schedule K-1. It is the partner's responsibility to consider and apply any applicable limitations.","Updated annually"
,,,
"Schedule K-1 (1120-S)","Shareholder's Share of Income, Deductions, Credits, etc. (For Shareholder's Use Only)","Use to report your share of the corporation's income, deductions, credits, and other items. Keep it for your records. Don't file it with your tax return unless backup withholding is reported in box 13 using code O. ","Updated annually"
,,,
"Schedule K-2 (1065)","Partners’ Distributive Share Items — International","Used to report items of international tax relevance from the operation of a partnership.","Updated annually"
,,,
"Schedule K-2 (1120-S)","Shareholders’ Pro Rata Share Items — International","Used to report items of international tax relevance from the operation of an S corporation.","Updated annually"
,,,
"Schedule K-2 (Form 8865)","Partners’ Distributive Share Items — International","Used to report items of international tax relevance from the operation of a partnership.","Updated annually"
,,,
"Schedule K-3 (1065)","Partner’s Share of Income, Deductions, Credits, etc. — International","Generally used to report the share of the items reported on Schedule K-2. The information reported on Schedule K-3 is used to report information on a partner’s tax or information returns.","Updated annually"
,,,
"Schedule K-3 (1120-S)","Shareholder's Share of Income, Deductions, Credits, etc. — International","Generally used to report to shareholders their share of the items reported on Schedule K-2. Shareholders must include the information reported on Schedule K-3 on their tax or information returns.","Updated annually"
,,,
"Schedule K-3 (Form 8865)","Partner’s Share of Income, Deductions, Credits, etc. — International","Generally used to report the share of the items reported on Schedule K-2. The information reported on Schedule K-3 is used to report information on a partner’s tax or information returns.","Updated annually"
,,,
"Schedule R","Credit for the Elderly or Disabled","Use to figure the credit for the elderly or disabled.","Updated annually"
,,,
"Schedule SE","Self-Employment Tax","Use to figure the tax due on net earnings from self-employment. Social Security uses the information from this form to figure your benefits under the social security program.","Updated annually"
,,,
"SSA-1042S","Foreign Person's US Source Income Subject to Withholding","Use to report specified Federal procurement payments (e.g., Social Security benefits) paid to foreign persons subject to withholding under Section 5000C.","Updated annually"
,,,
"SSA-1099","Social Security benefits.","This form is used by the Social Security Adminstration to report the total amount of Social Security benefits you received in the previous year.","Updated annually"
,,,
"W-2","Wage and Tax Statement","Every employer engaged in a trade or business who pays remuneration, including non-cash payments of $600 or more for the year (all amounts if any income, social security or Medicare tax was withheld) for services performed by an employee must file a Form W-2 for each employee (even if the employee is related to the employer) from whom: 1) income, Social Security or Medicare tax was withheld; 2) income tax would have been withheld if the employee had claimed no more than one withholding allowance or had not claimed exemption from withholding on Form W-4, Employee's Withholding Allowance Certificate.","Updated annually"
,"the ",,
"W-2G","Cetain Gambling Winnings","Use to report gambling winnings and any Federal tax withheld on those winnings. The requirements for reporting and withholding depend on: 1) the type of gambling; 2) the amount of the gambling winnings; and, 3) generally the ratio of the winnings to the wager.","Updated annually"
,,,
"W-4","Employee's Withholding Certificate","Use so that an employer can withhold the correct Federal income tax from their employee's pay. A new Form W-4 may be completed each year and when the employee's personal or financial situation changes.","Updated annually"
,,,
"W-7","Application for IRS Individual Taxpayer Identification Number","Use to apply for an IRS individual taxpayer identification number (ITIN). Also used to renew an existing ITIN that is expiring or that has already expired. Use this form, not Form W-7A for a child who is not a U.S. citizen or resident alien.","August 2019"
,,,
"W-7A","Application for Taxpayer Identification Number for Pending U.S. Adoptions","Use to apply for an IRS adoption taxpayer identification number (ATIN) for a child who is placed in your home for purposes of legal adoption. Taxpayers may not use this form if they are able to obtain a Social Security number for the child in time to file their tax return. ","October 2017"
